

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.009  000.009: --- NVIM STARTING ---
000.110  000.101: event init
000.258  000.148: early init
000.739  000.481: locale set
000.798  000.059: init first window
001.212  000.414: inits 1
001.232  000.020: window checked
001.234  000.002: parsing arguments
001.687  000.034  000.034: require('vim.shared')
001.765  000.029  000.029: require('vim._options')
001.767  000.077  000.048: require('vim._editor')
001.768  000.156  000.045: require('vim._init_packages')
001.769  000.378: init lua interpreter
003.375  001.606: expanding arguments
003.408  000.033: inits 2
003.650  000.243: init highlight
003.652  000.001: waiting for UI
003.803  000.151: done waiting for UI
003.817  000.014: clear screen
003.973  000.156: init default mappings & autocommands
004.920  000.316  000.316: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/ftplugin.vim
005.267  000.231  000.231: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/indent.vim
006.354  000.007  000.007: require('vim.keymap')
007.028  000.989  000.983: require('core.keymaps')
007.838  000.808  000.808: require('core.options')
008.321  000.479  000.479: require('core.autocommands')
009.752  000.947  000.947: require('lazy')
009.787  000.016  000.016: require('ffi')
009.833  000.043  000.043: require('vim.loader')
009.966  000.026  000.026: require('vim.fs')
010.432  000.558  000.532: require('lazy.stats')
010.834  000.364  000.364: require('lazy.core.util')
011.170  000.334  000.334: require('lazy.core.config')
011.869  000.289  000.289: require('lazy.core.handler')
012.231  000.360  000.360: require('lazy.core.plugin')
012.248  001.075  000.425: require('lazy.core.loader')
013.077  000.155  000.155: require('plugins.alpha')
013.285  000.197  000.197: require('plugins.codeium')
013.521  000.226  000.226: require('plugins.colorizer')
013.745  000.214  000.214: require('plugins.colorscheme')
013.935  000.177  000.177: require('plugins.comment')
014.187  000.230  000.230: require('plugins.completion')
014.352  000.116  000.116: require('plugins.dressing')
014.493  000.084  000.084: require('plugins.formatting')
014.571  000.070  000.070: require('plugins.gitsigns')
014.649  000.066  000.066: require('plugins.harpoon')
014.753  000.095  000.095: require('plugins.illuminate')
014.909  000.150  000.150: require('plugins.indentline')
015.078  000.163  000.163: require('plugins.linting')
015.298  000.199  000.199: require('plugins.lsp')
015.412  000.088  000.088: require('plugins.lualine')
015.514  000.080  000.080: require('plugins.motion')
015.647  000.067  000.067: require('plugins.noice')
015.742  000.082  000.082: require('plugins.nvim-spider')
015.868  000.078  000.078: require('plugins.nvim-tree')
015.991  000.070  000.070: require('plugins.nvim-treesitter')
016.187  000.185  000.185: require('plugins.nvim-treesitter-text-objects')
016.293  000.091  000.091: require('plugins.nvim-webdev-icons')
016.457  000.156  000.156: require('plugins.surround')
016.698  000.178  000.178: require('plugins.telescope')
016.844  000.073  000.073: require('plugins.vim-tmux-navigator')
016.913  000.063  000.063: require('plugins.winbar')
017.749  000.213  000.213: require('lazy.core.handler.event')
017.752  000.564  000.350: require('lazy.core.handler.ft')
018.129  000.374  000.374: require('lazy.core.handler.cmd')
018.352  000.220  000.220: require('lazy.core.handler.keys')
019.423  000.041  000.041: require('vim.inspect')
021.518  000.723  000.723: sourcing /opt/homebrew/Cellar/neovim/0.9.5/share/nvim/runtime/filetype.lua
024.247  000.152  000.152: require('tailscheme.palette')
024.250  000.453  000.301: require('tailscheme.theme')
024.251  001.323  000.869: require('tailscheme')
024.847  002.088  000.765: sourcing /Users/win/.local/share/nvim/lazy/tailscheme/colors/tailscheme.vim
025.759  000.808  000.808: require('telescope-any')
026.899  000.141  000.141: sourcing /Users/win/.local/share/nvim/lazy/plenary.nvim/plugin/plenary.vim
028.116  000.146  000.146: sourcing /Users/win/.local/share/nvim/lazy/nvim-web-devicons/plugin/nvim-web-devicons.vim
028.977  000.004  000.004: require('vim.F')
029.341  000.357  000.357: require('nvim-web-devicons.icons-default')
029.443  001.261  000.900: require('nvim-web-devicons')
030.314  000.498  000.498: sourcing /Users/win/.local/share/nvim/lazy/telescope.nvim/plugin/telescope.lua
032.058  000.199  000.199: require('telescope._extensions')
032.061  001.726  001.528: require('telescope')
033.878  000.266  000.266: require('plenary.bit')
034.018  000.138  000.138: require('plenary.functional')
034.047  001.016  000.611: require('plenary.path')
034.058  001.224  000.209: require('plenary.strings')
034.171  000.112  000.112: require('telescope.deprecated')
034.770  000.150  000.150: require('plenary.log')
034.804  000.419  000.269: require('telescope.log')
035.318  000.233  000.233: require('plenary.job')
035.459  000.139  000.139: require('telescope.state')
035.464  000.659  000.287: require('telescope.utils')
035.468  001.296  000.219: require('telescope.sorters')
037.049  004.688  002.056: require('telescope.config')
037.560  000.120  000.120: require('plenary.window.border')
037.652  000.091  000.091: require('plenary.window')
